,open,high,low,close,action
0,154.18093397175258,154.67490914700826,153.34089757935837,153.3517998433392,0.0
1,154.08314687213203,154.6910742948973,153.29370032000526,153.3009051876356,-1.0
2,154.06349368394868,154.65240991780192,153.2252865471536,153.25980631347355,0.0
3,154.02047488491777,154.56768151688922,153.21958877389937,153.22791733091003,0.0
4,153.95784533388797,154.522127867219,153.19795634969907,153.21023793359797,0.0
5,153.98032705936367,154.49384456852735,153.1846096507702,153.19339507108032,0.0
6,153.96238476920328,154.4690311553548,153.16685724531317,153.1725548530965,0.0
7,153.93920056356623,154.4495468651271,153.14505098248074,153.1508899139267,0.0
8,153.91992670183157,154.43025778283305,153.12374742072146,153.1291565457302,0.0
9,153.89829943915313,154.40915801957973,153.10147772088428,153.1073456670945,0.0
10,153.8724573144996,154.38726068769978,153.07949673588453,153.08575664675308,0.0
11,153.8526490219176,154.36485410262222,153.0577063530812,153.06426828998303,0.0
12,153.83102361452606,154.34218296246036,153.0359841111296,153.04275502677356,0.0
13,153.80923246948026,154.31954696994435,153.01435161794438,153.02122708290764,0.0
14,153.7877871203016,154.2969943243054,152.9927092069343,152.99969232954945,0.0
15,153.76629952275232,154.27449752187178,152.9710627200785,152.9781522178577,0.0
16,153.74436161732345,154.25203788796608,152.94940736171708,152.956613549222,0.0
17,153.72279608972505,154.2295907048832,152.92774422798502,152.9350769228659,0.0
18,153.70113136786955,154.20714129011293,152.90607984812755,152.9135406069367,0.0
19,153.6794552586124,154.1846871704033,152.88441488627677,152.89200428453606,1.0
